# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
3910000 93.31 -1.40 51.13 -0.10 1.00 102.29-1.40j
3920000 93.31 -1.08 51.17 0.08 1.00 102.29-1.08j
3930000 93.33 -1.09 51.10 0.04 1.00 102.31-1.09j
3940000 93.36 -1.47 51.11 0.05 1.00 102.34-1.47j
3950000 93.29 -1.31 51.09 0.02 1.00 102.27-1.31j
3960000 93.38 -1.19 51.14 0.18 1.00 102.36-1.19j
3970000 93.32 -1.11 51.15 0.10 1.00 102.30-1.11j
3980000 93.32 -1.44 51.27 -0.15 1.00 102.30-1.44j
3990000 93.31 -1.05 51.20 -0.14 1.00 102.29-1.05j
4000000 93.32 -1.24 51.24 0.13 1.00 102.29-1.24j
